date,btc_price,total_volume,eth_price,total_market_cap,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance,fear_greed,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,inflation_12m,return_1d_eth,return_7d_eth,return_30d_eth,volatility_7d_eth,volatility_30d_eth,ema_7_eth,ema_21_eth,ema_ratio_eth,month,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,halving_year
2018-02-01 00:00:00,10114.495086226,3225562144.838607,1106.1381723552724,509509728929.81366,170304196700.15707,107663538775.87932,509509728929.81366,0.3342511183405036,0.2113081118235335,0.4544407698359628,30.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,0.0,0.0,0.0,0.0,0.0,1106.1381723552724,1106.1381723552724,1.0,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-02 00:00:00,9070.55544937356,4769515274.345698,1021.2693786534148,449747622775.9546,152744180864.1639,99423764457.44884,449747622775.9546,0.3396219860405013,0.2210656808896077,0.439312333069891,15.0,1.0,0.0,0.0,0.0,0.0,2.263468931091861,-0.0767253095706376,0.0,0.0,0.0,0.0,1057.641718811354,1061.6830899400138,0.9961934298785072,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-03 00:00:00,8830.16351005472,6813550017.173829,914.6388425021536,424594289512.42224,148715185541.37634,89061856063.48083,424594289512.42224,0.3502524391276002,0.209757545646113,0.4399900152262866,40.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,-0.1044098044845504,0.0,0.0,0.0,0.0,995.802637164132,1007.9297547739078,0.987968290892954,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-04 00:00:00,8994.91486607664,3422042094.7330213,941.8032295185238,443951602349.1063,151507305722.97018,91725607014.4353,443951602349.1063,0.3412698702320049,0.2066117264338779,0.4521184033341171,24.0,1.0,0.0,0.0,0.0,0.0,2.263468931091861,0.0296995773130051,0.0,0.0,0.0,0.0,976.054282368024,988.9652201660828,0.98694500318637,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-05 00:00:00,8315.51749143615,3337096341.0061126,834.8891703333355,398166865002.4254,140081544557.2351,81329819333.7154,398166865002.4254,0.3518161777635158,0.20426064166143,0.4439231805750542,11.0,1.0,0.0,0.0,0.0,0.0,2.263468931091861,-0.1135205909623454,0.0,0.0,0.0,0.0,929.782491483414,952.0153348963696,0.97664654906491,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-06 00:00:00,6852.05270051491,5313588642.981379,684.3133397266745,322475216615.3219,115444836533.44772,66675677460.41152,322475216615.3219,0.3579959965455607,0.2067621758975307,0.4352418275569084,8.0,1.0,0.0,0.0,0.0,0.0,2.263468931091861,-0.1803542745039351,0.0,0.0,0.0,0.0,855.1283746438236,896.1368314156667,0.9542386214535338,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-07 00:00:00,7711.2203289411,9152685412.95559,785.7389155049871,370037149553.9821,129936854004.4166,76574516020.88303,370037149553.9821,0.3511454300224551,0.2069373740263127,0.4419171959512321,36.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,0.1482151083286256,0.0,0.0,0.0,0.0,835.1087067821152,875.52197770336,0.9538409406611864,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-08 00:05:28,7611.61027778882,4862232217.401406,785.7389155049871,370037149553.9821,129936854004.4166,76574516020.88303,370037149553.9821,0.3511454300224551,0.2069373740263127,0.4419171959512321,36.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,0.0,-0.2896557273383552,0.0,0.1098811321057102,0.0,821.3931551028534,860.2226159864215,0.9548611485422966,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-09 00:00:00,8208.57208449673,3190753947.378832,807.8227505154956,390285958627.4514,138345016554.78464,78759712266.80615,390285958627.4514,0.3544709039528687,0.2018000149013468,0.4437290811457843,44.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,0.028105818071026,-0.2090013003418914,0.0,0.1115608423889525,0.0,817.725142370756,851.9510333611536,0.9598264575660316,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-10 00:00:00,8650.71675042998,2960039948.907384,871.3268829432668,420525387064.44775,145812043727.55478,84968804616.78447,420525387064.44775,0.3467377908987176,0.2020539240446916,0.4512082850565907,54.0,0.0,0.0,1.0,0.0,0.0,2.263468931091861,0.0786114681559133,-0.0473541659792179,0.0,0.1119686471208897,0.0,831.9252346174964,854.8176972624493,0.9732194797577706,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-11 00:00:00,8574.67763849023,3371677737.5319858,854.3498784217315,419856119234.1599,144544944416.7482,83330877020.24867,419856119234.1599,0.3442725681369273,0.1984748422203507,0.4572525896427219,31.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,-0.0194840820980851,-0.0928573489193712,0.0,0.1112384605383389,0.0,837.7786138361005,854.752218300072,0.9801420761472506,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-12 00:00:00,8168.63777979963,2806997176.95887,817.2905243571003,399930046139.1735,137716289625.30893,79732678121.41658,399930046139.1735,0.3443509457586099,0.1993665614552751,0.4562824927861147,42.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,-0.0433772567897969,-0.0210790205473726,0.0,0.1030426178934726,0.0,832.4890369673991,849.754034307033,0.9796823590796916,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-13 00:00:00,8911.3985742083,3069219870.565569,862.7487725902944,431393692897.3545,150256428069.51227,84185155652.77072,431393692897.3545,0.3483046473404612,0.1951469319993087,0.45654842066023,35.0,0.0,1.0,0.0,0.0,0.0,2.263468931091861,0.0556206720602232,0.2607510660757977,0.0,0.065227598065474,0.0,840.2380666163774,851.4171070999967,0.986870077673567,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-14 00:00:00,8518.26907619091,2551515988.2160945,833.7791837295838,412899093662.9667,143645913955.80325,81375375877.96892,412899093662.9667,0.3478959294424021,0.1970829607690842,0.4550211097885135,55.0,0.0,0.0,0.0,1.0,0.0,2.263468931091861,-0.0335782440741504,0.0611402429949923,0.0,0.0462451846029673,0.0,838.5940529445405,849.2404875698468,0.9874635809512902,February,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-15 00:00:00,9428.02560716167,3282094240.879327,915.076543018882,458469927388.0856,159007423075.0244,89328231140.60481,458469927388.0856,0.3468219256623736,0.1948398920066795,0.4583381823309468,71.0,0.0,0.0,0.0,1.0,0.0,2.263468931091861,0.097504664155378,0.1646063660099752,0.0,0.0564872673052501,0.0,857.9736540063072,857.1093192655296,1.001008429988275,February,0,1,0,0,0,0,0,0,0,0,0,0,0
